Country,Producer,System Designation ,OperationalRole,SizeClass,Mission,EngineType,LaunchMethod,AnchorEndurance_h,AnchorPayload_kg,AnchorPayloadEnduranceProduct_kgh,MTOW_kg,MaxPayload_kg,Range_km,Wingspan_m,Length_m
Pakistan,Global Industrial &Defence Solutions,Shahpar III,M,05-MR,UCAV,p,CTOL,16.0,200.0,3200.0,1600.0,200.0,2500.0,19.5,
Poland,MSP,Neo3,DP,02-Mini,ISR,e,catapult,0.5,3.0,1.5,15.0,6.0,10.0,3.765,2.375
Portugal,Portuguese Air Force Academy,Antex -M X03,RA,06-MRE,ISR,p,CTOL,0.3,30.0,9.0,100.0,30.0,,6.0,
Portugal,Portuguese Air Force Academy,Antex -M X03,RA,06-MRE,ISR,p,CTOL,0.8,4.0,3.2,10.0,4.0,,2.4,
Turkey,Baykar,Bayraktar TB2,M,06-MRE,UCAV,p,CTOL,27.0,70.0,1890.0,650.0,150.0,150.0,12.0,6.5
UAE,EDGE Adasi,QX4,M,03-CR,ISR,h,vtol,13.0,5.0,65.0,42.0,7.0,150.0,3.3,2.8
UAE,EDGE PHANTOMLABS,PHANTOMHAWK,M,03-CR,ISR,h,VTOL,12.0,3.5,42.0,32.0,7.0,150.0,4.0,
USA,Insitu (acquired by Boeing in 2008),ScanEagle,DP,08-LALE,ISR,p,luncher,24.0,3.4,81.6,20.0,3.4,100.0,3.1,1.55
USA,Insitu (acquired by Boeing in 2008),ScanEagle HFE eo or ir,DP,08-LALE,ISR,p,luncher,23.0,3.4,78.2,22.0,3.4,100.0,3.1,1.55
USA,Insitu (acquired by Boeing in 2008),ScanEagle HFE mwir nighteagle,DP,08-LALE,ISR,p,luncher,20.0,3.4,68.0,22.0,3.4,100.0,3.1,1.7
USA,Northrop Grumman,X -47B UCAS -D,M,11-UCAV,UCAV,turbofan,CTOL,,2041.0,0.0,20215.0,2041.0,3900.0,18.92,11.63
USA,Zipline,"Zipline 1, Sparrow",CC,04-SR,cargo,e,luncher,,1.75,0.0,21.0,1.75,380.0,3.3,2.18
