Unnamed: 0,Country,Producer,System Designation ,SizeClass,Remarks ,OperationalRole,Airframe,TailConfig,WingForm,WingConfig,BodyConfig,EngineType,LaunchMethod,Mission,MaxSpeed_kmh,CruiseSpeed_kmh,Endurance_h,Range_km,ActualRange_km,MTOW_kg,PayloadEnduranceProduct_kgh,Payload_kg,AnchorPayload_kg,Ceiling_km,EngPower_hp,Wingspan_m,Length_m,Height_m,sources,Unnamed: 30,EnduranceFlag,PayloadFraction,PowerLoading_hp_per_kg,MissionTags,IsConfigVariant,PayloadEnduranceProduct_kgh_derived,HasAnchorPayload,SizeClassStd,DerivedRange_km,RangeKind,BestRange_km,StallSpeed_kmh,Airfoil,AspectRatio_NTNU,Chord_est_m_NTNU,PropDiameter_m,NTNU_ref
303.0,France,Fly -R (Aero Composites Innovations),R2-240,MR,"Hybrid, lunching speed 90, tendum wing, 900 N",M,FW,tail-less,swept,Joined-wing,WT,H,Catapult,ISR,200.0,180.0,10.0,60.0,,60.0,60.0,6.0,,,,2.44,2.162,0.403,data sheet,,normal,0.1,,ISR,False,60.0,False,Small,1800.0,derived_cruise_datalink_likely,1800.0,,,,,,
642.0,Portugal,Tekever,AR3 EVO (VTOL),MR,"v0.8.30: Updated to AR3 EVO (VTOL) specs. Same airframe as AR3 EVO piston/electric, but VTOL deployment gives MTOW 30 kg / 14 h endurance.",DP,FW,inv-V,T,H,WT,H,VTOL,ISR,,85.0,14.0,230.0,,30.0,84.0,6.0,,3.6,,4.2,1.96,,datasheet,,normal,0.2,,ISR,False,84.0,False,Small,1190.0,derived_cruise_datalink_likely,230.0,,,,,,
106.0,China (PR ),Beijing Sagetown Technologies,CL-11,Mini,"Petrol ,VTOL ,   bat, Internal comb eng",DP,FW/RW,V,R,H,WT,H,VTOL,ISR,120.0,105.0,2.0,200.0,200.0,25.0,6.0,3.0,,,,3.6,1.97,0.7,,,normal,0.12,,ISR,False,6.0,False,Small,210.0,actual,200.0,,,,,,
155.0,China (PR ),DSTECHUAS,Beluga,Mini,,CC,FW/RW,inv-V,T,H,Tboom,H,VTOL,ISR,180.0,125.0,7.5,150.0,,120.0,150.0,20.0,,,,6.0,3.3,,,,normal,0.1666666666666667,,ISR,False,150.0,False,Small,937.5,derived_cruise_datalink_likely,937.5,,,,,,
552.0,New Zealand,Aerotech Innovation,CW -30,SR,"Hybrid Petrol /EL ,VTOL , collaboration with Chinese OEM JOUAV",DP,FW/RW,inv-V,T,H,Tboom,H,VTOL,ISR,130.0,100.0,4.0,50.0,,34.5,24.0,6.0,,4.0,,4.0,2.36,,,,normal,0.1739130434782609,,ISR,False,24.0,False,Small,400.0,derived_cruise_datalink_likely,400.0,,,,,,
736.0,Serbia,EDePro (Engine Development &Production ),Mini Aleks ,CR,"VTOL ,Hybride ,EL ,Combustion ",M,FW/RW,H-boom,T,H,Tboom,H,VTOL,ISR,250.0,,8.0,,,60.0,120.0,15.0,,,,4.2,,,datasheet,,normal,0.25,,ISR,False,120.0,False,Small,,derived_max_estimated,1300.0,,,,,,
524.0,Latvia,"UAV Factory (acquired by AE Industrial Partners ,USA ,in 2021)",Penguin B VTOL ,MR,"Petrol ,VTOL ",DP,FW/RW,inv-V,e,H,Tboom,H,VTOL,ISR,142.0,,8.0,,,30.0,93.6,11.7,,,,3.9,2.5,,datasheet,,normal,0.39,,ISR,False,93.6,False,Small,,derived_max_estimated,738.4,,,,,,
610.0,Poland,Flytronic (acquired by WB Electronics in 2010),Manta LE ,MR,Hybrid Engine ,DP,FW,boom,T,M,Tboom,H,CTOL,ISR,150.0,,12.0,180.0,,140.0,840.0,70.0,,,,6.6,3.3,,datasheet,,normal,0.5,,ISR,False,840.0,False,Small,,derived_max_datalink_likely,1170.0,,,,,,
646.0,Portugal,UAVision,Ogassa OGS42 Vtol ,MR,"Petrol ,VTOL ",DP,FW/RW,inv-V,T,H,Tboom,H,VTOL,ISR,130.0,95.0,8.0,100.0,,36.0,40.0,5.0,,,,4.2,2.5,1.1,,,normal,0.1388888888888889,,ISR,False,40.0,False,Small,760.0,derived_cruise_datalink_likely,760.0,,,,,,
1102.0,USA,Drone Tech UAV,AV -2 Pelican VTOL,Mini,2x (2-/4-stroke )+8x EL ,DP,FW/RW,,,,WT,H,VTOL,ISR,110.0,90.0,9.0,,,44.0,63.0,7.0,,,,3.82,1.5,,,,normal,0.1590909090909091,,ISR,False,63.0,False,Small,810.0,derived_cruise,810.0,,,,,,
